local_timestamp,datetime,node_id,epoch,julian_day,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,o3_ppm,o3_ppm_QC_level,PM_2.5_ug/m3,PM_2.5_ug/m3_QC_level
2020-09-13 14:00:00,2020-09-13 21:00:00,58,1600030800.0,257.875,0.64,2,418.1,2,-999,,-999,
2020-09-13 15:00:00,2020-09-13 22:00:00,58,1600034400.0,257.9166666666667,0.61,2,416.9,2,-999,,-999,
2020-09-13 16:00:00,2020-09-13 23:00:00,58,1600038000.0,257.9583333333333,0.59,2,419.4,2,-999,,-999,
2020-09-13 17:00:00,2020-09-14 00:00:00,58,1600041600.0,258.0,0.58,2,414.7,2,-999,,-999,
2020-09-13 18:00:00,2020-09-14 01:00:00,58,1600045200.0,258.0416666666667,0.6,2,415.5,2,-999,,-999,
2020-09-13 19:00:00,2020-09-14 02:00:00,58,1600048800.0,258.0833333333333,0.61,2,415.9,2,-999,,-999,
2020-09-13 20:00:00,2020-09-14 03:00:00,58,1600052400.0,258.125,0.6,2,416.4,2,-999,,-999,
2020-09-13 21:00:00,2020-09-14 04:00:00,58,1600056000.0,258.1666666666667,0.64,2,417.3,2,-999,,-999,
2020-09-13 22:00:00,2020-09-14 05:00:00,58,1600059600.0,258.2083333333333,0.65,2,417.1,2,-999,,-999,
2020-09-13 23:00:00,2020-09-14 06:00:00,58,1600063200.0,258.25,0.62,2,416.5,2,-999,,-999,
2020-09-14 00:00:00,2020-09-14 07:00:00,58,1600066800.0,258.2916666666667,0.61,2,417.4,2,-999,,-999,
2020-09-14 01:00:00,2020-09-14 08:00:00,58,1600070400.0,258.3333333333333,0.61,2,417.4,2,-999,,-999,
2020-09-14 02:00:00,2020-09-14 09:00:00,58,1600074000.0,258.375,0.59,2,418.6,2,-999,,-999,
2020-09-14 03:00:00,2020-09-14 10:00:00,58,1600077600.0,258.4166666666667,0.58,2,418.1,2,-999,,-999,
2020-09-14 04:00:00,2020-09-14 11:00:00,58,1600081200.0,258.4583333333333,0.57,2,418.3,2,-999,,-999,
2020-09-14 05:00:00,2020-09-14 12:00:00,58,1600084800.0,258.5,0.55,2,417.1,2,-999,,-999,
2020-09-14 06:00:00,2020-09-14 13:00:00,58,1600088400.0,258.5416666666667,0.55,2,417.5,2,-999,,-999,
2020-09-14 07:00:00,2020-09-14 14:00:00,58,1600092000.0,258.5833333333333,0.56,2,416.5,2,-999,,-999,
2020-09-14 08:00:00,2020-09-14 15:00:00,58,1600095600.0,258.625,0.57,2,417.4,2,-999,,-999,
2020-09-14 09:00:00,2020-09-14 16:00:00,58,1600099200.0,258.6666666666667,0.57,2,418.0,2,-999,,-999,
2020-09-14 10:00:00,2020-09-14 17:00:00,58,1600102800.0,258.7083333333333,0.57,2,416.9,2,-999,,-999,
2020-09-14 11:00:00,2020-09-14 18:00:00,58,1600106400.0,258.75,0.58,2,416.6,2,-999,,-999,
2020-09-14 12:00:00,2020-09-14 19:00:00,58,1600110000.0,258.7916666666667,0.59,2,418.1,2,-999,,-999,
2020-09-14 13:00:00,2020-09-14 20:00:00,58,1600113600.0,258.8333333333333,0.58,2,418.5,2,-999,,-999,
2020-09-14 14:00:00,2020-09-14 21:00:00,58,1600117200.0,258.875,0.57,2,417.8,2,-999,,-999,
2020-09-14 15:00:00,2020-09-14 22:00:00,58,1600120800.0,258.9166666666667,0.55,2,418.2,2,-999,,-999,
2020-09-14 16:00:00,2020-09-14 23:00:00,58,1600124400.0,258.9583333333333,0.55,2,418.2,2,-999,,-999,
2020-09-14 17:00:00,2020-09-15 00:00:00,58,1600128000.0,259.0,0.52,2,416.8,2,-999,,-999,
2020-09-14 18:00:00,2020-09-15 01:00:00,58,1600131600.0,259.0416666666667,0.49,2,416.3,2,-999,,-999,
2020-09-14 19:00:00,2020-09-15 02:00:00,58,1600135200.0,259.0833333333333,0.45,2,416.6,2,-999,,-999,
2020-09-14 20:00:00,2020-09-15 03:00:00,58,1600138800.0,259.125,0.42,2,416.6,2,-999,,-999,
2020-09-14 21:00:00,2020-09-15 04:00:00,58,1600142400.0,259.1666666666667,0.29,2,414.5,2,-999,,-999,
2020-09-14 22:00:00,2020-09-15 05:00:00,58,1600146000.0,259.2083333333333,0.22,2,412.6,2,-999,,-999,
2020-09-14 23:00:00,2020-09-15 06:00:00,58,1600149600.0,259.25,0.24,2,413.8,2,-999,,-999,
2020-09-15 00:00:00,2020-09-15 07:00:00,58,1600153200.0,259.2916666666667,0.24,2,415.3,2,-999,,-999,
2020-09-15 01:00:00,2020-09-15 08:00:00,58,1600156800.0,259.3333333333333,0.22,2,412.9,2,-999,,-999,
2020-09-15 02:00:00,2020-09-15 09:00:00,58,1600160400.0,259.375,0.22,2,416.3,2,-999,,-999,
2020-09-15 03:00:00,2020-09-15 10:00:00,58,1600164000.0,259.4166666666667,0.22,2,413.6,2,-999,,-999,
2020-09-15 04:00:00,2020-09-15 11:00:00,58,1600167600.0,259.4583333333333,0.21,2,415.1,2,-999,,-999,
2020-09-15 05:00:00,2020-09-15 12:00:00,58,1600171200.0,259.5,0.21,2,414.6,2,-999,,-999,
2020-09-15 06:00:00,2020-09-15 13:00:00,58,1600174800.0,259.5416666666667,0.22,2,416.1,2,-999,,-999,
2020-09-15 07:00:00,2020-09-15 14:00:00,58,1600178400.0,259.5833333333333,0.25,2,417.9,2,-999,,-999,
2020-09-15 08:00:00,2020-09-15 15:00:00,58,1600182000.0,259.625,0.28,2,418.1,2,-999,,-999,
2020-09-15 09:00:00,2020-09-15 16:00:00,58,1600185600.0,259.6666666666667,0.26,2,417.6,2,-999,,-999,
2020-09-15 10:00:00,2020-09-15 17:00:00,58,1600189200.0,259.7083333333333,0.23,2,416.9,2,-999,,-999,
2020-09-15 11:00:00,2020-09-15 18:00:00,58,1600192800.0,259.75,0.2,2,412.3,2,-999,,-999,
2020-09-15 12:00:00,2020-09-15 19:00:00,58,1600196400.0,259.7916666666667,0.22,2,413.9,2,-999,,-999,
2020-09-15 13:00:00,2020-09-15 20:00:00,58,1600200000.0,259.8333333333333,0.22,2,415.7,2,-999,,-999,
2020-09-15 14:00:00,2020-09-15 21:00:00,58,1600203600.0,259.875,0.21,2,415.6,2,-999,,-999,
2020-09-15 15:00:00,2020-09-15 22:00:00,58,1600207200.0,259.9166666666667,0.19,2,415.2,2,-999,,-999,
2020-09-15 16:00:00,2020-09-15 23:00:00,58,1600210800.0,259.9583333333333,0.18,2,416.2,2,-999,,-999,
2020-09-15 17:00:00,2020-09-16 00:00:00,58,1600214400.0,260.0,0.14,2,414.0,2,-999,,-999,
2020-09-15 18:00:00,2020-09-16 01:00:00,58,1600218000.0,260.0416666666667,0.1,2,410.4,2,-999,,-999,
2020-09-15 19:00:00,2020-09-16 02:00:00,58,1600221600.0,260.0833333333333,0.08,2,410.5,2,-999,,-999,
2020-09-15 20:00:00,2020-09-16 03:00:00,58,1600225200.0,260.125,0.08,2,411.0,2,-999,,-999,
2020-09-15 21:00:00,2020-09-16 04:00:00,58,1600228800.0,260.1666666666667,0.09,2,411.3,2,-999,,-999,
2020-09-15 22:00:00,2020-09-16 05:00:00,58,1600232400.0,260.2083333333333,0.1,2,412.3,2,-999,,-999,
2020-09-15 23:00:00,2020-09-16 06:00:00,58,1600236000.0,260.25,0.09,2,412.1,2,-999,,-999,
2020-09-16 00:00:00,2020-09-16 07:00:00,58,1600239600.0,260.2916666666667,0.09,2,412.5,2,-999,,-999,
2020-09-16 01:00:00,2020-09-16 08:00:00,58,1600243200.0,260.3333333333333,0.08,2,413.3,2,-999,,-999,
2020-09-16 02:00:00,2020-09-16 09:00:00,58,1600246800.0,260.375,0.08,2,414.8,2,-999,,-999,
2020-09-16 03:00:00,2020-09-16 10:00:00,58,1600250400.0,260.4166666666667,0.09,2,415.7,2,-999,,-999,
2020-09-16 04:00:00,2020-09-16 11:00:00,58,1600254000.0,260.4583333333333,0.1,2,418.2,2,-999,,-999,
2020-09-16 05:00:00,2020-09-16 12:00:00,58,1600257600.0,260.5,0.11,2,419.7,2,-999,,-999,
2020-09-16 06:00:00,2020-09-16 13:00:00,58,1600261200.0,260.5416666666667,0.12,2,421.1,2,-999,,-999,
2020-09-16 07:00:00,2020-09-16 14:00:00,58,1600264800.0,260.5833333333333,0.15,2,422.9,2,-999,,-999,
2020-09-16 08:00:00,2020-09-16 15:00:00,58,1600268400.0,260.625,0.16,2,422.8,2,-999,,-999,
2020-09-16 09:00:00,2020-09-16 16:00:00,58,1600272000.0,260.6666666666667,0.16,2,421.4,2,-999,,-999,
2020-09-16 10:00:00,2020-09-16 17:00:00,58,1600275600.0,260.7083333333333,0.15,2,418.0,2,-999,,-999,
2020-09-16 11:00:00,2020-09-16 18:00:00,58,1600279200.0,260.75,0.14,2,415.4,2,-999,,-999,
2020-09-16 12:00:00,2020-09-16 19:00:00,58,1600282800.0,260.7916666666667,0.13,2,413.0,2,-999,,-999,
2020-09-16 13:00:00,2020-09-16 20:00:00,58,1600286400.0,260.8333333333333,0.12,2,412.4,2,-999,,-999,
2020-09-16 14:00:00,2020-09-16 21:00:00,58,1600290000.0,260.875,0.12,2,410.6,2,-999,,-999,
2020-09-16 15:00:00,2020-09-16 22:00:00,58,1600293600.0,260.9166666666667,0.11,2,411.8,2,-999,,-999,
2020-09-16 16:00:00,2020-09-16 23:00:00,58,1600297200.0,260.9583333333333,0.1,2,413.9,2,-999,,-999,
2020-09-16 17:00:00,2020-09-17 00:00:00,58,1600300800.0,261.0,0.06,2,407.4,2,-999,,-999,
2020-09-16 18:00:00,2020-09-17 01:00:00,58,1600304400.0,261.0416666666667,0.05,2,407.8,2,-999,,-999,
2020-09-16 19:00:00,2020-09-17 02:00:00,58,1600308000.0,261.0833333333333,0.05,2,409.6,2,-999,,-999,
2020-09-16 20:00:00,2020-09-17 03:00:00,58,1600311600.0,261.125,0.06,2,411.2,2,-999,,-999,
